State,Location,Address,City,Facility,Hours,Phone.Number,Eligibility,Link,lon,lat,geoAddress
Alabama,Walmart,2473 Hackworth Rd,Adamsville,Drive-thru,"Mon, Wed, Fri 7 a.m. - 9 a.m.",,,https://corporate.walmart.com/covid19testing,-86.9243542,33.5791572,"2473 hackworth rd, forestdale, al 35214, usa"
Alabama,Northeast Alabama Regional Medical Center,230 E 10th Street,Anniston,Drive-thru,M-F 8:30-4:30,256-235-5600,,https://rmccares.org/coronavirus-information/,-73.9853705,40.729007,"230 e 10th st, new york, ny 10003, usa"
Alabama,Southern Immediate Care,4100 McClellan Boulevard,Anniston,Drive-thru,,256-568-8818,,https://www.southernimmediatecare.com/location/,-85.8239361,33.6927291,"4100 mcclellan blvd, anniston, al 36201, usa"
Alabama,Waddell Family Medicine,902 West Washington St,Athens,Drive-thru,M-F 8-4,,Requires health insurance,https://www.athenslimestonehospital.com/clinics-physician-offices/waddell-center-family-medicine,-86.9817315,34.8010342,"902 w washington st, athens, al 35611, usa"
Alabama,Southern Immediate Care,956 Gilberts Ferry Road,Attalla,Drive-thru,M-F 8-5,256-568-8818,,https://www.southernimmediatecare.com/location/,-86.0917483,33.9971066,"956 gilbert ferry rd se, gadsden, al 35904, usa"
Alabama,Health Plus Fitness Center,1171 Gatewood Dr Suite 101,Auburn,Drive-thru,"M-F 9-6, S-S 9-1",334-528-SICK,,https://www.eamc.org/patient-and-guests/covid-19-information/,-85.4546204,32.6270044,"1171 gatewood dr #101, auburn, al 36830, usa"
Alabama,North Baldwin Infirmary,2115 Hand Avenue,Bay Minette,Drive-thru,,251-341-2819,appt only,https://www.infirmaryhealth.org/media-center/news/archive,-87.7851572,30.9051884,"2115 hand ave, bay minette, al 36507, usa"
Alabama,Cahaba Medical Care,1308 Tuscaloosa Avenue,Birmingham,Drive-thru,,205-679-6325,https://www.surveymonkey.com/r/CMCcurbsideWE,https://www.cahabamedicalcare.com/,-86.8544222,33.4930512,"1308 tuscaloosa ave, birmingham, al 35211, usa"
Alabama,Acton Quick Care Clinic,2868 Acton Road,Birmingham,Drive-thru,,205.273.9424,healthcare workers or first responders call 205.525.6133,https://www.actonquickcare.com/,-86.7409226,33.4299662,"2868 acton rd, birmingham, al 35243, usa"
Alabama,Walgreens,4501 Valleydale Road,Birmingham,Drive-thru,9am-5pm,,Appointment only \u2013 complete questionnaire: Walgreens.com/Covid19Testing,https://www.walgreens.com/findcare/covid19/testing?ext=goodrx,-86.7380018,33.3840545,"4501 valleydale rd, birmingham, al 35242, usa"
Alabama,Church of the Highlands Grandview,4700 Highlands Way,Birmingham,Drive-thru,,,,https://www.wvtm13.com/article/drive-thru-coronavirus-testing-in-birmingham-bessemer-and-tuscaloosa/31651212#,-86.655858,33.516727,"4700 highlands way, irondale, al 35210, usa"
